Product Code,Size,UPC,Product Type,Category,Sport Activity,Style Code,Style Name,Secondary Style Name,Sizes,Sizes (USA),Technologies,Suggested Retail Price,Standard Wholesale Price (Wholesale Includes VAT),Season for Price,Currency Type,Gender Age Summary,Gender Age,Silhouette,Delivery Units,Delivery Unit of Measure,Product Name,Primary Colour Code,Primary Colour Name,General Colour Description,Product Construction,Product Configuration,Team Name,Athlete Name,League Name,First Offer Date,End Future Offer Date,Launch Begin Date
FD8311-001,6,197863022086	,FOOTWEAR,RUNNING,RUNNING/RACING,FD8311,Nike Alphafly 3,Men's Road Racing Shoes,,"6 - 13, 14, 15",ZOOM - VIS,390,229.41,FA2025,AUD,MENS,MENS,LOW TOP,1,PAIR,Nike Alphafly 3,001,BLACK OR GREY,FOOTBALL GREY/BLUE VOID-GHOST,,MEDIUM(M),,,,2025-07-01T00:00:00.000Z,2025-09-19T00:00:00.000Z,
FD8311-001,6.5,197863004822	,FOOTWEAR,RUNNING,RUNNING/RACING,FD8311,Nike Alphafly 3,Men's Road Racing Shoes,,"6 - 13, 14, 15",ZOOM - VIS,390,229.41,FA2025,AUD,MENS,MENS,LOW TOP,1,PAIR,Nike Alphafly 3,001,BLACK OR GREY,FOOTBALL GREY/BLUE VOID-GHOST,,MEDIUM(M),,,,2025-07-01T00:00:00.000Z,2025-09-19T00:00:00.000Z,
FD8311-001,7,197863033044	,FOOTWEAR,RUNNING,RUNNING/RACING,FD8311,Nike Alphafly 3,Men's Road Racing Shoes,,"6 - 13, 14, 15",ZOOM - VIS,390,229.41,FA2025,AUD,MENS,MENS,LOW TOP,1,PAIR,Nike Alphafly 3,001,BLACK OR GREY,FOOTBALL GREY/BLUE VOID-GHOST,,MEDIUM(M),,,,2025-07-01T00:00:00.000Z,2025-09-19T00:00:00.000Z,
FD8311-001,7.5,197863019369	,FOOTWEAR,RUNNING,RUNNING/RACING,FD8311,Nike Alphafly 3,Men's Road Racing Shoes,,"6 - 13, 14, 15",ZOOM - VIS,390,229.41,FA2025,AUD,MENS,MENS,LOW TOP,1,PAIR,Nike Alphafly 3,001,BLACK OR GREY,FOOTBALL GREY/BLUE VOID-GHOST,,MEDIUM(M),,,,2025-07-01T00:00:00.000Z,2025-09-19T00:00:00.000Z,
FD8311-001,8,197863030883	,FOOTWEAR,RUNNING,RUNNING/RACING,FD8311,Nike Alphafly 3,Men's Road Racing Shoes,,"6 - 13, 14, 15",ZOOM - VIS,390,229.41,FA2025,AUD,MENS,MENS,LOW TOP,1,PAIR,Nike Alphafly 3,001,BLACK OR GREY,FOOTBALL GREY/BLUE VOID-GHOST,,MEDIUM(M),,,,2025-07-01T00:00:00.000Z,2025-09-19T00:00:00.000Z,
FD8311-001,8.5,197863018195	,FOOTWEAR,RUNNING,RUNNING/RACING,FD8311,Nike Alphafly 3,Men's Road Racing Shoes,,"6 - 13, 14, 15",ZOOM - VIS,390,229.41,FA2025,AUD,MENS,MENS,LOW TOP,1,PAIR,Nike Alphafly 3,001,BLACK OR GREY,FOOTBALL GREY/BLUE VOID-GHOST,,MEDIUM(M),,,,2025-07-01T00:00:00.000Z,2025-09-19T00:00:00.000Z,
FD8311-001,9,197863021218	,FOOTWEAR,RUNNING,RUNNING/RACING,FD8311,Nike Alphafly 3,Men's Road Racing Shoes,,"6 - 13, 14, 15",ZOOM - VIS,390,229.41,FA2025,AUD,MENS,MENS,LOW TOP,1,PAIR,Nike Alphafly 3,001,BLACK OR GREY,FOOTBALL GREY/BLUE VOID-GHOST,,MEDIUM(M),,,,2025-07-01T00:00:00.000Z,2025-09-19T00:00:00.000Z,
FD8311-001,9.5,197863032467	,FOOTWEAR,RUNNING,RUNNING/RACING,FD8311,Nike Alphafly 3,Men's Road Racing Shoes,,"6 - 13, 14, 15",ZOOM - VIS,390,229.41,FA2025,AUD,MENS,MENS,LOW TOP,1,PAIR,Nike Alphafly 3,001,BLACK OR GREY,FOOTBALL GREY/BLUE VOID-GHOST,,MEDIUM(M),,,,2025-07-01T00:00:00.000Z,2025-09-19T00:00:00.000Z,
FD8311-001,10,197863008271	,FOOTWEAR,RUNNING,RUNNING/RACING,FD8311,Nike Alphafly 3,Men's Road Racing Shoes,,"6 - 13, 14, 15",ZOOM - VIS,390,229.41,FA2025,AUD,MENS,MENS,LOW TOP,1,PAIR,Nike Alphafly 3,001,BLACK OR GREY,FOOTBALL GREY/BLUE VOID-GHOST,,MEDIUM(M),,,,2025-07-01T00:00:00.000Z,2025-09-19T00:00:00.000Z,
FD8311-001,10.5,197863034690	,FOOTWEAR,RUNNING,RUNNING/RACING,FD8311,Nike Alphafly 3,Men's Road Racing Shoes,,"6 - 13, 14, 15",ZOOM - VIS,390,229.41,FA2025,AUD,MENS,MENS,LOW TOP,1,PAIR,Nike Alphafly 3,001,BLACK OR GREY,FOOTBALL GREY/BLUE VOID-GHOST,,MEDIUM(M),,,,2025-07-01T00:00:00.000Z,2025-09-19T00:00:00.000Z,
